"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Sumo1",0.04,0.79,1.05,0.89,-0.16,-1.34,-1.27
"Atg16l1",-0.13,0.65,1.11,0.91,0.09,-1.38,-1.25
"Zbtb5",0.24,0.76,0.75,0.95,0.05,-1.12,-1.63
"Rock1",0.26,0.67,0.79,0.87,0.22,-1.18,-1.63
"Mosmo",0.08,0.55,0.76,1.13,0.22,-1.28,-1.47
"Stard5",0.04,0.36,0.97,1.07,0.26,-1.26,-1.45
"Aim2",0.33,0.73,0.96,0.79,-0.08,-1.21,-1.53
"Serpina3f",0.29,0.75,0.94,0.9,-0.21,-1.19,-1.48
"Phldb1",0.18,0.8,0.98,0.88,-0.18,-1.24,-1.42
"Serpina3g",0.47,0.82,0.94,0.71,-0.23,-1.32,-1.39
"Arhgef3",0.53,0.62,1.1,0.63,-0.16,-1.32,-1.4
"Fbxo7",0.52,0.72,1.07,0.66,-0.3,-1.34,-1.33
"Rfx5",0.42,0.68,1.13,0.59,-0.19,-0.98,-1.65
"Polr3d",0.28,0.71,1.16,0.65,-0.2,-0.94,-1.65
"Ccne1",0.05,0.8,1.05,0.81,-0.1,-1.03,-1.59
"Atad2b",0.01,0.63,1.22,0.75,0.01,-1.05,-1.57
"Dtnb",-0.2,0.67,1.07,1.08,-0.27,-1.59,-0.78
"Sesn2",-0.35,0.5,1.04,1.24,-0.13,-1.56,-0.73
"Lin9",-0.19,0.56,1.44,0.85,-0.5,-1.45,-0.71
"Tmpo",-0.18,0.5,1.46,0.9,-0.42,-1.28,-0.99
"Rps27a-ps2",-0.31,0.56,1.06,1.32,-0.47,-0.82,-1.35
"Ugcg",-0.03,0.79,0.98,1.17,-0.74,-0.83,-1.33
"Hnrnph1",0.03,0.75,1.05,1.08,-0.69,-0.77,-1.45
"Gabpb1",-0.31,0.98,0.69,1.37,-0.66,-0.99,-1.08
"Acp5",0.03,0.68,0.66,1.5,-0.73,-1.17,-0.97
"Sntb1",-0.13,0.51,1.21,1.19,-0.53,-1.32,-0.92
"Appl1",-0.04,0.77,0.86,1.25,-0.46,-1.38,-1
"Zup1",0.06,0.83,1.08,0.97,-0.54,-1.25,-1.16
"Ahr",-0.05,0.79,1.14,0.99,-0.5,-1.05,-1.32
"Yrdc",0.06,0.62,1.1,1.18,-0.76,-1.02,-1.18
"H2-Q4",0.07,0.58,1.02,1.21,-0.48,-1.02,-1.37
"Cd2ap",-0.02,0.68,0.89,1.34,-0.61,-1.07,-1.2
"6330403L08Rik",0.21,-0.34,-1.12,-1.14,-0.09,1.56,0.92
"Slc36a1",0.25,-0.7,-1.31,-0.69,-0.08,1.43,1.1
"Tcf3",-0.03,-0.58,-1.19,-0.8,-0.08,1.42,1.26
"Vps8",-0.03,-0.54,-1.19,-0.8,-0.14,1.5,1.19
"Mcm3",0.42,-1.03,-0.49,-1.06,-0.39,1.39,1.15
"Ripk3",0.34,-0.67,-0.79,-1.22,-0.2,1.45,1.09
"Dedd2",0.31,-0.66,-0.8,-1.3,-0.03,1.43,1.05
"Kif21b",0.33,-0.89,-0.98,-1.01,0.08,1.4,1.07
"Pdcd4",0.25,-0.83,-0.9,-1.08,-0.02,1.33,1.23
"Aldh3b1",-0.22,-0.7,-0.77,-0.85,-0.3,1.42,1.42
"2510016D11Rik",-0.39,-0.55,-0.81,-0.82,-0.3,1.47,1.4
"Prr12",-0.09,-0.44,-0.96,-1,-0.26,1.39,1.37
"Slc37a4",-0.17,-0.55,-0.93,-0.86,-0.31,1.5,1.32
"Gpr155",0.07,-0.77,-0.68,-0.82,-0.58,1.22,1.56
"Mnt",0,-0.59,-0.53,-1.03,-0.65,1.42,1.37
"Fbxo32",-0.12,-0.69,-0.59,-1.08,-0.31,1.36,1.43
"Lpxn",0.5,-0.71,-0.99,-0.93,-0.36,0.96,1.53
"Tmem273",0.19,-0.51,-1.14,-0.75,-0.42,1.01,1.63
"Kcnk13",0.31,-0.36,-0.58,-1.12,-0.87,1.27,1.34
"Prcp",0.17,-0.54,-0.72,-1.26,-0.28,1.25,1.38
"Ap1b1",0.01,-0.24,-0.56,-1.42,-0.4,1.21,1.41
"Galnt2",-0.89,-0.73,-0.39,-0.29,-0.57,1.31,1.55
"Uqcc5",-0.9,-0.46,-0.45,-0.29,-0.73,1.13,1.7
"Mgat5",-0.49,-0.66,-0.71,-0.26,-0.73,1.15,1.7
"Hs2st1",-0.59,-0.69,-0.78,-0.16,-0.65,1.41,1.46
"Zranb3",-0.87,-0.39,-1.07,0,-0.29,0.88,1.75
"Dagla",-0.75,0,-0.88,-0.13,-0.93,1.07,1.62
"Mad1l1",-0.5,0.01,-1.23,-0.64,-0.3,1.01,1.65
"Pias3",-0.46,-0.36,-1.19,-0.3,-0.36,0.87,1.81
"Tbc1d32",-0.49,-0.36,-0.96,-0.67,-0.22,0.83,1.88
"Fbxw4",-0.67,-0.35,-1.21,-0.25,-0.26,1.55,1.19
"Magee1",-0.42,-0.36,-1.37,-0.46,-0.08,1.4,1.28
"Appl2",-0.65,-0.51,-1.08,-0.45,-0.11,1.44,1.37
"Plxdc1",-0.65,-0.34,-1.12,-0.57,-0.09,1.31,1.47
"Inpp5f",-0.15,-0.73,-0.99,-0.62,-0.32,1.3,1.51
"Lrrc20",-0.12,-0.45,-1.29,-0.51,-0.36,1.45,1.28
"Acad12",0.02,-0.62,-1.11,-0.54,-0.52,1.44,1.32
"Rpsa-ps12",0.06,-0.63,-1.16,-0.58,-0.42,1.47,1.25
"Ift140",-0.25,-0.63,-1.44,-0.13,-0.16,1.42,1.19
"Plpbp",-0.2,-1.04,-1.05,-0.19,-0.21,1.18,1.52
"Tmem141",-0.22,-0.7,-1.27,-0.31,-0.21,1.18,1.52
"Fam107b",-0.36,-0.9,0.19,-0.55,-1.06,1.42,1.26
"Casp9",-0.01,-1.33,-0.18,-0.65,-0.48,1.21,1.44
"Ifngr1",-0.61,-1.05,-0.02,-0.57,-0.52,1.17,1.6
"Gm28875",-0.39,-1.13,-0.08,-0.58,-0.56,1.05,1.68
"Pip4k2a",-0.24,-1.03,-0.13,-0.93,-0.41,1.19,1.55
"Osbpl9",-0.33,-0.88,-0.32,-0.93,-0.37,1.33,1.5
"Nin",-0.35,-1.06,-0.32,-0.7,-0.4,1.31,1.51
"Ccdc34",0.2,-1.03,-0.8,-0.25,-0.75,1.63,0.99
"Polr3g",-0.24,-1.05,-0.48,-0.77,-0.27,1.5,1.31
"Map3k4",-0.64,-0.98,-0.5,-0.44,-0.28,1.63,1.2
"Flvcr1",-0.53,-0.87,-0.51,-0.5,-0.46,1.65,1.23
"Cnnm2",-0.35,-0.83,-0.51,-0.41,-0.73,1.74,1.1
"Tnfrsf26",-0.08,-0.96,-0.91,-0.4,-0.39,1.66,1.08
"Nav1",-0.37,-0.7,-0.84,-0.55,-0.42,1.62,1.25
"Tmem165",-0.21,-0.91,-0.72,-0.62,-0.37,1.56,1.28
"Lhfpl2",-0.32,-0.92,-0.66,-0.59,-0.37,1.52,1.35
"Rb1",-1.04,-0.86,0.07,-0.62,-0.28,1.43,1.3
"Mpzl1",-0.91,-1.08,0.12,-0.59,-0.21,1.38,1.3
"Il6st",-0.64,-0.82,-0.05,-1.04,-0.17,1.12,1.6
"Zfp414",-0.97,-0.57,-0.21,-0.98,0.01,1.26,1.46
"Eeig1",-0.93,-0.51,-0.1,-1.06,-0.12,1.39,1.33
"Dnajc5",-0.93,-0.55,-0.26,-0.73,-0.38,1.28,1.57
"Pnpo",-0.89,-0.55,-0.08,-0.93,-0.32,1.21,1.57
"Tmem19",-0.66,-0.85,-0.22,-0.78,-0.31,1.2,1.63
"Fabp4",-0.64,-0.9,-0.29,-0.65,-0.37,1.28,1.58
"Fam83f",-0.67,-0.76,-0.41,-0.79,-0.19,1.11,1.71
"Calm2",-0.61,-0.88,-0.48,-0.61,-0.27,1.19,1.67
"Rcan3",-0.6,-0.71,-0.6,-0.62,-0.34,1.13,1.73
"Mid1ip1",-0.25,-0.75,-0.3,-1.03,-0.37,0.87,1.83
"Bcl2l13",-0.28,-0.61,-0.61,-0.92,-0.36,0.99,1.8
"Armc2",-0.32,-0.5,-0.54,-1.06,-0.28,0.87,1.84
"Myo1f",-0.51,-0.37,-0.65,-1.01,-0.26,1.09,1.7
"Foxk1",-0.4,-0.62,-0.42,-0.91,-0.51,1.21,1.65
"Gpr146",0.03,-0.96,-0.59,-0.46,-0.8,1.36,1.43
"Acadm",-0.33,-0.76,-0.63,-0.53,-0.65,1.34,1.56
"Dolpp1",-0.15,-0.7,-0.82,-0.6,-0.58,1.27,1.58
"Sdhaf4",-0.44,-0.58,-0.46,-0.56,-0.86,1.29,1.6
"Stk11ip",-0.49,-0.54,-0.29,-0.69,-0.87,1.32,1.56
"Pcmtd2",-0.6,-0.51,-0.37,-0.71,-0.71,1.26,1.63
"Klf10",-0.15,-0.42,-0.65,-0.69,-0.93,1.44,1.4
"Elp2",-0.25,-0.57,-0.12,-0.74,-1.1,1.28,1.49
"Peak1",-0.27,-0.63,-0.28,-0.78,-0.87,1.6,1.24
"Xpr1",-1.23,-0.55,-0.51,-0.39,0,1.04,1.64
"Steap3",-1.2,-0.31,-0.58,-0.53,-0.14,1.2,1.55
"Acot1",-1.02,-0.46,-0.52,-0.53,-0.29,1.14,1.68
"Hsd17b4",-1.31,-0.18,-0.4,-0.61,-0.07,0.81,1.75
"Rnh1",-1.06,-0.32,-0.6,-0.73,0.04,0.96,1.72
"Rnf181",-1.23,-0.18,-0.52,-0.74,0.03,1.06,1.58
"Ctnnbip1",-1.12,-0.87,-0.56,-0.26,0.23,0.97,1.61
"Selenon",-1.2,-0.84,-0.47,-0.27,0.11,1.22,1.44
"Kcnab2",-1.28,-0.6,-0.49,-0.36,0.05,1.23,1.46
"Trim47",-1.13,-0.74,-0.45,-0.43,0.01,1.22,1.52
"Fli1",-0.94,-0.77,-0.3,-0.79,0.17,0.91,1.72
"Dock2",-1.27,-0.48,-0.33,-0.76,0.26,1.1,1.48
"Mvb12b",-1.25,-0.55,-0.3,-0.69,0.14,1.22,1.43
"Paics",-1.04,-0.71,-0.26,-0.78,0.08,1.17,1.54
"Pwwp2b",-0.99,-0.64,-0.4,-0.86,0.19,1.21,1.48
"Pex10",-0.47,-0.93,-0.81,-0.49,0.08,0.78,1.84
"Dym",-0.86,-0.48,-0.75,-0.6,-0.01,0.85,1.84
"Dnmt3a",-0.92,-0.83,-0.61,-0.3,-0.08,1,1.73
"9630028I04Rik",-0.73,-0.81,-0.54,-0.54,-0.15,0.96,1.81
"Cbfa2t3",-1.24,-0.5,-0.36,-0.59,0.34,0.51,1.84
"Castor1",-0.79,-1.03,-0.62,-0.25,0.24,0.59,1.86
"Entrep3",-1.11,-0.9,-0.57,-0.32,0.49,0.76,1.65
"Vmac",-0.98,-1.04,-0.47,-0.36,0.51,0.63,1.71
"Pkdcc",-0.38,-1.37,-0.8,-0.19,0.21,1.1,1.43
"Msh2",-0.5,-1.21,-0.54,-0.57,0.16,1.09,1.57
"Prkar2b",-0.61,-1.08,-0.65,-0.63,0.33,1.25,1.4
"Cited4",-0.67,-1.26,-0.58,-0.43,0.4,1.18,1.37
"Acaa2",-0.53,-1.08,-0.67,-0.04,-0.41,1.01,1.71
"Slc36a4",-0.55,-1.15,-0.63,-0.25,-0.21,1.39,1.4
"Reps2",-0.51,-0.98,-0.77,-0.17,-0.4,1.54,1.28
"Lrfn4",-0.94,-0.33,-1.43,0.03,0.35,0.9,1.42
"Acox1",-0.62,-0.67,-1.25,-0.17,0.12,1.02,1.58
"Thbd",-0.75,-0.64,-1.26,-0.27,0.36,1.18,1.37
"Cep250",-0.99,-0.35,-1.1,-0.27,0.03,1.48,1.2
"Efr3b",-1.08,-0.49,-1.01,-0.26,0.2,1.38,1.25
"Mbd5",-1.13,-0.26,-0.89,-0.41,-0.04,1.36,1.37
"Eif2d",-1.25,-0.38,-0.85,-0.34,0.2,1.32,1.29
"Rmnd5b",-1.14,-0.49,-0.79,-0.33,0.02,1.39,1.34
"Smim19",-1.11,-0.35,-1.01,-0.15,-0.05,1.21,1.46
"Cluh",-0.92,-0.47,-0.97,-0.34,-0.04,1.16,1.59
"Pard6b",-0.9,-0.46,-1.02,-0.12,-0.27,1.4,1.38
"Cnr2",-0.96,-0.67,-0.85,-0.25,-0.04,1.5,1.27
"Sfxn3",-1.21,-0.21,-0.32,-0.06,-0.83,1.67,0.95
"Wfs1",-0.96,-0.48,-0.23,-0.18,-0.93,1.59,1.18
"Tmem158",-1.01,-0.28,-0.21,-0.4,-0.89,1.37,1.42
"Atxn10",-1.09,-0.25,-0.76,-0.37,-0.28,1.68,1.07
"Ctns",-1.14,-0.31,-0.7,-0.21,-0.39,1.66,1.08
"Tmco1",-0.82,-0.63,-0.42,-0.44,-0.56,1.7,1.17
"Cic",-0.96,-0.5,-0.38,-0.61,-0.41,1.54,1.33
"Fam78b",-0.85,-0.56,-0.44,-0.63,-0.4,1.63,1.24
"Pitpnc1",-1.15,-0.42,-0.15,-0.59,-0.46,1.52,1.26
"Cd300ld",-1.33,-0.59,-0.22,-0.37,-0.19,1.36,1.35
"Pdp1",-1.11,-0.73,-0.18,-0.45,-0.32,1.43,1.36
"Itpr3",-1.44,-0.37,-0.05,-0.3,-0.43,1.55,1.04
"Mrpl41",-1.26,-0.34,-0.35,-0.32,-0.51,1.4,1.37
"Ank",-1.28,-0.47,-0.35,-0.26,-0.4,1.36,1.4
"Marchf8",-1.17,-0.46,-0.35,-0.18,-0.62,1.51,1.27
"Chd3",-1.31,-0.36,-0.34,-0.07,-0.62,1.35,1.35
"Tgfbr1",-1.55,0.03,-0.13,-0.29,-0.57,1.23,1.29
"Cln8",-1.35,-0.03,0.03,-0.49,-0.76,1.3,1.29
"Rere",-1.38,-0.15,-0.02,-0.54,-0.55,1.33,1.31
"Lair1",-1.1,-0.19,-0.02,-0.3,-1.02,1.03,1.6
"Scamp5",-1.35,-0.01,-0.04,-0.06,-1.03,1.23,1.26
"Bmt2",-1.06,-0.96,-0.16,-0.11,-0.36,0.94,1.71
"Kcnq1",-1.07,-0.88,0.08,-0.47,-0.35,1.11,1.58
"Coq10a",-1.1,-0.66,-0.08,0.2,-0.96,1.4,1.2
"Atp6v0d2",-1.18,-0.77,-0.38,0.24,-0.55,1.17,1.46
"Sh2d3c",-0.33,-0.23,-1.08,-0.6,-0.58,1.39,1.43
"Sec22c",-0.49,-0.27,-0.8,-0.55,-0.77,1.42,1.47
"Pter",-0.47,-0.3,-0.87,-0.57,-0.66,1.28,1.59
"Nacc2",-0.62,-0.25,-0.82,-0.3,-0.85,1.47,1.38
"Dennd11",-0.72,-0.06,-1.06,-0.34,-0.6,1.5,1.28
"Adgrg3",-0.6,0,-0.77,-0.79,-0.59,1.74,1.02
"Zfand2a",-0.54,-0.15,-0.58,-0.78,-0.8,1.39,1.47
"Prune1",-0.65,-0.11,-0.71,-0.91,-0.46,1.52,1.31
"Flnc",-0.5,-0.11,-0.77,-1.01,-0.43,1.37,1.44
"Tmem164",-0.94,-0.57,-0.7,-0.55,-0.01,1.1,1.67
"Dag1",-0.96,-0.55,-0.69,-0.5,-0.12,1.25,1.57
"Sft2d2",-0.89,-0.66,-0.54,-0.69,-0.02,1.24,1.57
"2010008C14Rik",-0.8,-0.59,-0.63,-0.63,-0.21,1.23,1.63
"Engase",-0.75,-0.61,-0.67,-0.82,0.03,1.36,1.45
"Nt5dc2",-0.91,-0.38,-0.6,-0.85,-0.06,1.37,1.43
"Bcl2",-0.82,-0.46,-0.68,-0.8,-0.06,1.41,1.42
"Prkar2a",-0.84,-0.44,-0.9,-0.6,-0.01,1.29,1.51
"5031439G07Rik",-0.72,-0.39,-0.84,-0.71,-0.15,1.15,1.66
"Mrpl34",-0.63,-0.47,-0.83,-0.75,-0.15,1.22,1.62
"Arvcf",-0.67,-0.48,-0.77,-0.77,-0.16,1.3,1.55
"Tmem104",-0.45,-0.81,-0.52,-0.7,-0.43,1.42,1.48
"Ksr2",-0.54,-0.67,-0.71,-0.72,-0.25,1.34,1.54
"Cipc",-0.74,-0.56,-0.52,-0.58,-0.52,1.41,1.51
"Fam78a",-0.84,-0.76,-0.56,-0.4,-0.31,1.47,1.4
"Tsc1",-0.68,-0.72,-0.73,-0.39,-0.38,1.37,1.52
"Esyt3",-0.68,-0.83,-0.63,-0.43,-0.33,1.41,1.48
"Cd84",-0.78,-0.63,-0.84,-0.4,-0.19,1.54,1.31
"Slc25a24",-0.81,-0.59,-0.71,-0.47,-0.28,1.63,1.23
"Rmnd5a",-0.84,-0.78,-0.58,-0.58,-0.06,1.46,1.37
"Vash2",-0.68,-0.76,-0.5,-0.78,-0.14,1.46,1.4
"Adk",-0.56,-0.79,-0.6,-0.66,-0.28,1.62,1.26
"Add1",-0.54,-0.72,-0.76,-0.73,-0.09,1.52,1.32
"Gsn",-1.27,-0.01,-0.47,-0.64,-0.27,1.05,1.61
"Rgs10",-1.08,-0.06,-0.52,-0.79,-0.3,1.23,1.52
"Atp13a2",-1.28,-0.33,-0.55,-0.45,-0.12,1.41,1.32
"Cds2",-1.26,-0.44,-0.47,-0.42,-0.15,1.32,1.43
"Agpat4",-1.33,-0.16,-0.32,-0.56,-0.33,1.48,1.22
"Atp6v1c1",-1.3,-0.17,-0.36,-0.54,-0.36,1.36,1.38
"Sirpa",-1.33,-0.14,-0.45,-0.54,-0.26,1.29,1.42
"Angptl2",-0.87,0.04,-0.83,-0.67,-0.46,1.34,1.45
"Rtkn",-1.1,-0.03,-0.74,-0.65,-0.21,1.47,1.26
"Gltp",-0.97,-0.12,-0.83,-0.28,-0.6,1.32,1.48
"Tmc6",-0.92,-0.29,-0.77,-0.45,-0.42,1.38,1.48
"Adam8",-1.05,-0.4,-0.45,-0.48,-0.47,1.33,1.52
"Trp53inp2",-1.26,-0.2,-0.47,-0.3,-0.53,1.25,1.5
"Ntpcr",-1.12,-0.14,-0.62,-0.44,-0.48,1.28,1.51
"Jade1",-0.9,-0.23,-0.4,-1.12,-0.09,1.39,1.34
"Hyal1",-0.73,-0.3,-0.59,-1.11,-0.02,1.38,1.37
"Triap1",-1.2,-0.24,-0.45,-0.8,-0.01,1.33,1.37
"Rasa3",-1.07,-0.35,-0.48,-0.85,0,1.24,1.5
"Oit3",-0.95,-0.38,-0.56,-0.64,-0.35,1.45,1.42
"Tbc1d16",-0.9,-0.31,-0.56,-0.78,-0.28,1.31,1.54
"Ostm1",-0.88,-0.23,-0.13,-0.8,-0.76,1.34,1.46
"Etv5",-0.97,-0.01,-0.25,-1.17,-0.24,1.09,1.54
"Jmjd8",-1.61,-0.25,-0.52,-0.28,0.28,1.41,0.97
"Cd320",-1.6,-0.18,-0.58,-0.09,0.09,1.55,0.81
"Cd276",-1.31,0.12,-0.91,-0.48,0.07,1.2,1.33
"Epas1",-1.19,-0.06,-0.89,-0.57,0.08,1.35,1.28
"Fgfr1",-1.42,-0.21,-0.69,-0.32,0.05,1.35,1.24
"Chn2",-1.27,-0.13,-0.93,-0.27,0.02,1.51,1.07
"Mmd",-0.9,-1.07,-0.6,-0.14,0,1.32,1.39
"Tspan14",-0.86,-0.75,-0.79,-0.48,0.11,1.5,1.26
"Rasgef1a",-0.93,-0.84,-0.78,-0.44,0.33,1.44,1.2
"Smco4",-0.96,-0.82,-0.57,-0.44,0.01,1.39,1.4
"Slc37a2",-1.03,-0.78,-0.62,-0.44,0.14,1.4,1.33
"Wdr7",-0.85,-0.89,-0.78,-0.28,0.05,1.41,1.34
"Eif4ebp2",-0.78,-0.84,-0.8,-0.46,0.12,1.32,1.44
"Mettl13",-1.2,-0.81,-0.55,-0.1,-0.03,1.35,1.33
"Cirbp",-1.44,-0.61,-0.43,-0.07,-0.02,1.38,1.21
"Map2k5",-1.06,-1.06,-0.49,-0.31,0.39,1.34,1.21
"Tmem184c",-1.13,-1.03,-0.38,-0.28,0.22,1.3,1.31
"Ivns1abp",-1.15,-0.97,-0.5,-0.1,0.17,1.58,0.98
"Mafa",-1.34,-0.9,-0.34,-0.19,0.24,1.41,1.1
"Cd36",-0.39,-1.82,-0.29,0.3,0.05,1.17,0.98
"Dkc1",-0.56,-1.7,-0.54,0.17,0.59,1.15,0.9
"Fut11",-0.19,-1.44,-0.44,-0.35,-0.21,1.54,1.08
"Tle6",-0.52,-1.29,-0.07,-0.73,0.1,1.67,0.84
"Rfx1",-0.41,-1.29,-0.36,-0.56,-0.07,1.53,1.17
"Acot11",-0.63,-1.29,-0.29,-0.53,0.06,1.44,1.23
"Slc5a3",-0.16,-1.27,-0.88,-0.69,0.81,1,1.2
"Prkch",-0.25,-1.27,-0.94,-0.54,0.76,0.96,1.28
"Mob3a",0.12,-1.34,-0.91,-0.68,0.54,1.03,1.24
"Tbc1d2",-0.12,-1.23,-0.89,-0.71,0.56,1.17,1.22
"Cdc14b",-0.27,-1.45,-0.39,-0.83,0.69,1.18,1.06
"Ppfia4",-0.23,-1.43,-0.46,-0.75,0.47,1.34,1.06
"Rcc2",-0.15,-1.26,-0.7,-0.89,0.77,1.09,1.14
"H1f2",-0.03,-1.23,-0.64,-1.02,0.65,1.01,1.26
"Rab3gap2",-0.43,-1.29,-0.56,-0.74,0.72,0.94,1.37
"Epb41",-0.37,-1.28,-0.52,-0.85,0.67,1.12,1.23
"Bmf",0.19,-1.45,-0.45,-1.05,0.82,0.84,1.09
"Dvl2",-0.1,-1.29,-0.54,-1.03,0.96,0.89,1.11
"Cep44",-0.11,-1.31,-0.44,-1.05,0.98,0.67,1.25
"Tsc22d3",-0.46,-1.66,-0.23,-0.5,0.92,0.86,1.07
"Ccr5",-0.19,-1.56,-0.29,-0.8,1.2,0.87,0.78
"Scrn3",-0.05,-1.67,-0.52,-0.55,1.09,0.73,0.96
"Pkib",0.08,-1.77,-0.65,-0.18,0.85,1.2,0.47
"Cbx7",-0.58,-1.52,-0.45,-0.34,0.98,1.32,0.6
"Akap11",-0.13,-1.37,-0.39,-0.97,0.9,1.35,0.62
"Tfdp2",-0.4,-1.44,-0.37,-0.73,1.03,1.26,0.65
"Dctd",-0.43,-1.13,-0.68,-0.69,0.87,1.63,0.43
"Ift70b",-0.63,-1.23,-0.52,-0.53,0.63,1.64,0.65
"Rgs11",-0.5,-1.04,-0.7,-0.71,0.6,1.69,0.68
"Mrpl42",-0.4,-1.25,-0.58,-0.67,0.63,1.65,0.62
"Per3",-0.34,-1.27,-0.63,-0.64,0.53,1.65,0.69
"Sord",-0.88,-1.21,-0.43,-0.52,0.68,1.05,1.31
"Sesn1",-0.67,-1.3,-0.57,-0.52,0.77,0.98,1.31
"St6gal1",-0.9,-1.31,-0.47,-0.37,1.07,0.92,1.06
"Gcsh",-1.03,-1.02,-0.64,-0.45,1.02,1.03,1.09
"Lmln",-0.92,-1.1,-0.65,-0.46,0.89,1.15,1.09
"Gyg",-0.7,-1.05,-0.57,-0.84,0.99,1.02,1.16
"Slc17a5",-0.79,-1,-0.63,-0.76,0.86,1.09,1.22
"Pmm1",-1.01,-0.75,-0.61,-0.83,1.07,1.02,1.1
"Def6",-1.01,-0.81,-0.61,-0.74,0.91,1.1,1.17
"Paqr7",-0.96,-0.85,-0.69,-0.68,0.98,1.03,1.17
"Rgs2",-1.02,-0.99,-0.39,-0.74,1.02,1.02,1.1
"Slc25a13",-0.9,-0.95,-0.5,-0.82,0.94,1.16,1.07
"Slc26a11",-0.97,-0.82,-0.51,-0.87,0.95,1.08,1.14
"Fam50a",-0.82,-1.09,-0.67,-0.53,0.8,1.38,0.93
"Erf",-0.73,-1.2,-0.52,-0.67,1.08,1.17,0.88
"Slc46a3",-0.86,-1.06,-0.75,-0.48,1.18,0.89,1.08
"Rbfa",-0.67,-1.09,-0.81,-0.59,1.25,1.04,0.86
"Pck2",-0.82,-0.96,-0.81,-0.6,1.17,1.03,0.99
"Zdhhc14",-0.79,-0.95,-0.8,-0.65,1.11,1.09,1
"Itpripl1",-1.04,-1.04,-0.72,-0.28,1.18,1.04,0.86
"Micos13",-1.14,-0.92,-0.65,-0.4,1.17,1.04,0.91
"Leprot",-1.05,-0.87,-0.79,-0.42,1.2,1.07,0.86
"Pccb",-0.97,-0.94,-0.61,-0.61,1.19,1.23,0.71
"Jup",-1.02,-0.86,-0.68,-0.61,1.11,1.13,0.94
"Irak1",-0.57,-0.88,-1.04,-0.65,1.21,0.79,1.15
"Tiam2",-0.6,-0.95,-0.99,-0.59,1.23,0.72,1.17
"Ncor2",-0.65,-0.78,-0.89,-0.87,1.2,0.9,1.09
"Susd3",-0.59,-0.69,-1.05,-0.83,1.17,0.93,1.07
"Tm2d2",-0.57,-0.93,-1.03,-0.63,1.17,1.06,0.92
"Haghl",-0.7,-0.8,-1.06,-0.61,1.21,1.01,0.95
"Dctpp1",-0.42,-0.9,-0.87,-0.96,1.01,0.91,1.23
"Gtf2ird1",-0.61,-0.88,-0.79,-0.91,1.03,0.99,1.16
"Rab3il1",-0.63,-0.95,-0.77,-0.83,0.9,1.05,1.23
"Galnt9",-0.37,-0.92,-1.06,-0.79,1.01,1.01,1.12
"Sppl2b",-0.39,-0.94,-1.01,-0.79,0.98,1.13,1.03
"Ldlrap1",-0.47,-0.93,-1,-0.75,0.94,1.18,1.03
"Snx24",-0.51,-0.98,-0.94,-0.73,0.82,1.2,1.13
"Tmem51",-0.4,-1.12,-0.82,-0.79,0.91,1.16,1.05
"Cxcr4",-0.47,-1.11,-0.78,-0.79,0.95,1.11,1.09
"Scd2",-0.47,-0.74,-0.98,-0.97,1.1,1.15,0.9
"Fmnl1",-0.41,-0.83,-1.03,-0.87,1.1,1.07,0.98
"Tctn3",-0.52,-0.76,-1.04,-0.84,1.17,1.08,0.91
"Grhpr",-0.4,-0.74,-1.15,-0.83,1.23,0.91,0.98
"Gm47815",-0.54,-0.7,-1.12,-0.76,1.31,0.97,0.84
"Pithd1",-0.45,-1.07,-1.04,-0.56,0.96,1.03,1.14
"Btbd17",-0.56,-1.02,-1.05,-0.5,1.01,1.11,1.02
"Id1",-0.31,-1.14,-1.07,-0.54,1.16,0.92,0.99
"Rapgef3",-0.36,-1.2,-0.91,-0.63,1.09,0.96,1.05
"Neurl3",-0.17,-1.07,-1.14,-0.65,1.11,1.07,0.85
"Enc1",-0.29,-1.08,-0.9,-0.8,1.08,1.26,0.74
"Adipor2",-0.35,-1.31,-0.69,-0.64,1.28,0.57,1.14
"Tnfrsf12a",-0.59,-1.35,-0.5,-0.61,1.22,0.8,1.03
"Synpo",-0.28,-1.15,-0.72,-0.94,1.09,0.96,1.04
"Myo7a",-0.52,-1.17,-0.58,-0.85,1.19,0.93,1.01
"Lpin1",-0.5,-1.17,-0.6,-0.86,1.13,0.96,1.04
"Aaas",-0.17,-1.34,-0.63,-0.8,1.38,0.73,0.84
"S100a13",-0.31,-1.2,-0.44,-1.06,1.31,0.86,0.83
"Il6ra",-0.41,-1,-0.69,-0.97,1.46,0.84,0.77
"Araf",-0.65,-1.03,-0.48,-0.92,1.24,0.58,1.26
"Bivm",-0.54,-0.95,-0.44,-1.09,1.43,0.58,1.02
"Arhgap9",-0.69,-0.77,-0.88,-0.82,1.41,0.82,0.92
"Neurl2",-0.7,-0.81,-0.88,-0.76,1.36,0.8,1
"Tpra1",-0.7,-0.69,-0.94,-0.85,1.31,0.91,0.95
"Idh1",-0.76,-0.66,-0.91,-0.82,1.39,0.83,0.94
"Rin3",-0.76,-0.82,-0.69,-0.89,1.36,0.8,1
"Wbp1",-0.6,-0.77,-0.84,-0.94,1.34,0.81,1
"Gtf2i",-0.59,-0.99,-0.78,-0.8,1.29,0.92,0.95
